date_added,clean,persistent_id,name,kind,podcast,album_artist,bitrate,play_date_utc,unplayed,location,file_folder_count,track_id,play_count,size,artwork_count,library_folder_count,track_type,album,sort_name,date_modified,release_date,genre,sample_rate,total_time,play_date,year,artist
2022-01-04 02:36:34,True,BE72A122FE6461E5,Joseph Smith—The Prophet | Richard C. Edgley | August 2005,,True,,,,True,https://traffic.omny.fm/d/clips/0c331867-ade6-4f54-a1a9-aa5d00345817/4a3d3a8e-92bb-4e77-a871-aa7100f69d0b/ab953e4c-3a6a-42a5-9af6-aa7100f96b11/audio.mp3?utm_source=Podcast&in_playlist=2631a465-5eed-48c6-abff-aa7100f69d0f&t=1561063804,,13016,,38733697,,,URL,Joseph Smith: BYU Speeches,,,2018-06-05 11:46:00,Podcast,,2418000,,,BYU Speeches
2022-01-04 02:36:34,True,7DEBFDA50969BE88,"Joseph Smith, the Mormon Prophet | James A. Cullimore | January 1977",,True,,,,True,https://traffic.omny.fm/d/clips/0c331867-ade6-4f54-a1a9-aa5d00345817/4a3d3a8e-92bb-4e77-a871-aa7100f69d0b/f7acf2f1-7cc7-4d70-afa5-aa7100f6ed99/audio.mp3?utm_source=Podcast&in_playlist=2631a465-5eed-48c6-abff-aa7100f69d0f&t=1561062021,,13022,,26615814,,,URL,Joseph Smith: BYU Speeches,,,2018-06-27 12:24:00,Podcast,,1661000,,,BYU Speeches
2022-01-04 02:36:34,,AA4099E164041C7F,Joseph Smith: A Revealer of Christ | Bruce R. McConkie | September 1978,,True,,,,True,https://traffic.omny.fm/d/clips/0c331867-ade6-4f54-a1a9-aa5d00345817/4a3d3a8e-92bb-4e77-a871-aa7100f69d0b/5676f1aa-aa96-409f-8816-ab99012e449f/audio.mp3?utm_source=Podcast&in_playlist=2631a465-5eed-48c6-abff-aa7100f69d0f&t=1586543269,,13046,,36885493,,,URL,Joseph Smith: BYU Speeches,,,2020-04-10 18:27:49,Podcast,,2303000,,,BYU Speeches
2021-12-30 22:54:08,,23B1B652D54CE684,"Joseph, the Seer| Gordon B Hinckley, Dec 1967",MPEG audio file,True,BYU Speeches,128,,True,"file://localhost/C:/Users/bruce/Music/iTunes/iTunes Media/Podcasts/Joseph Smith_ BYU Speeches/Joseph, the Seer_ Gordon B Hinckley, 1.mp3",4,4976,,19065715,1,1,File,Joseph Smith: BYU Speeches,,2020-06-02 19:36:34,2020-05-22 16:15:10,Podcast,44100,1188388,,2020,BYU Speeches
2021-12-30 22:54:08,,CC59694CB5DD6DC6,"The Book of Mormon: Man-Made or God-Given? | Tad R. Callster, Nov 2016",MPEG audio file,True,BYU Speeches,128,,True,file://localhost/C:/Users/bruce/Music/iTunes/iTunes Media/Podcasts/Joseph Smith_ BYU Speeches/The Book of Mormon_ Man-Made or God- 1.mp3,4,4980,,30067294,1,1,File,Joseph Smith: BYU Speeches,"Book of Mormon: Man-Made or God-Given? | Tad R. Callster, Nov 2016",2020-06-05 19:36:34,2020-06-05 17:30:49,Podcast,44100,1875983,,2020,BYU Speeches
2021-12-30 22:54:08,,C6FE39D8B2D12103,"The Importance of Asking Questions (Excerpted) | Cecil O. Samuelson , Nov 2001",MPEG audio file,True,BYU Speeches,128,,True,file://localhost/C:/Users/bruce/Music/iTunes/iTunes Media/Podcasts/Joseph Smith_ BYU Speeches/The Importance of Asking Questions ( 1.mp3,4,4982,,8708744,1,1,File,Joseph Smith: BYU Speeches,"Importance of Asking Questions (Excerpted) | Cecil O. Samuelson , Nov 2001",2020-06-12 19:36:50,2020-06-12 16:58:01,Podcast,44100,541074,,2020,BYU Speeches
2022-01-04 02:36:34,True,40F8083EA586B39B,"Joseph Smith: Seer, Translator, Revelator, and Prophet | Alexander L. Baugh | June 2014",,True,,,,True,https://traffic.omny.fm/d/clips/0c331867-ade6-4f54-a1a9-aa5d00345817/4a3d3a8e-92bb-4e77-a871-aa7100f69d0b/e5575c91-d96b-4f97-b3f4-aa7100f93a72/audio.mp3?utm_source=Podcast&in_playlist=2631a465-5eed-48c6-abff-aa7100f69d0f&t=1611342941,,13056,,32082740,,,URL,Joseph Smith: BYU Speeches,,,2021-01-22 19:10:00,Podcast,,2003000,,,BYU Speeches
2022-01-04 02:36:34,True,866895DC52266B75,Joseph Smith and the Lighter View | Leonard J. Arrington | November 1974,,True,,,2021-05-21 13:20:35,,https://traffic.omny.fm/d/clips/0c331867-ade6-4f54-a1a9-aa5d00345817/4a3d3a8e-92bb-4e77-a871-aa7100f69d0b/5e17cfed-6b4a-431c-a4ca-aa7100f77d2d/audio.mp3?utm_source=Podcast&in_playlist=2631a465-5eed-48c6-abff-aa7100f69d0f&t=1561062890,,13060,6,22964527,,,URL,Joseph Smith: BYU Speeches,,,2021-05-07 15:00:00,Podcast,,1433000,3704426435,,BYU Speeches
2022-01-04 02:36:34,True,5372575AEFAC6B79,The Prophet Joseph Smith | Preston Nibley | December 1958,,True,,,,True,https://traffic.omny.fm/d/clips/0c331867-ade6-4f54-a1a9-aa5d00345817/4a3d3a8e-92bb-4e77-a871-aa7100f69d0b/45449701-d6ad-4688-8cfc-aa7100f7630d/audio.mp3?utm_source=Podcast&in_playlist=2631a465-5eed-48c6-abff-aa7100f69d0f&t=1561062937,,13072,,31032796,,,URL,Joseph Smith: BYU Speeches,Prophet Joseph Smith | Preston Nibley | December 1958,,2021-09-03 14:00:00,Podcast,,1937000,,,BYU Speeches
2022-01-04 02:36:34,True,DA3F50468D224804,Joseph Smith: Lover of the Cause of Christ | Heidi S. Swinton | November 2004,,True,,,,True,https://traffic.omny.fm/d/clips/0c331867-ade6-4f54-a1a9-aa5d00345817/4a3d3a8e-92bb-4e77-a871-aa7100f69d0b/6d5a773e-c206-438e-99ae-aa7100f6fced/audio.mp3?utm_source=Podcast&in_playlist=2631a465-5eed-48c6-abff-aa7100f69d0f&t=1617381388,,13080,,29102263,,,URL,Joseph Smith: BYU Speeches,,,2021-11-19 15:25:00,Podcast,,1816000,,,BYU Speeches
2022-01-04 02:36:34,True,8DADCAADC63D197D,Joseph Smith—the Chosen of God and the Friend of Man | Ivan J. Barrett | August 1975,,True,,,,True,https://traffic.omny.fm/d/clips/0c331867-ade6-4f54-a1a9-aa5d00345817/4a3d3a8e-92bb-4e77-a871-aa7100f69d0b/caa8b369-50a4-4d31-a412-aa7100f71403/audio.mp3?utm_source=Podcast&in_playlist=2631a465-5eed-48c6-abff-aa7100f69d0f&t=1561062337,,13082,,31270644,,,URL,Joseph Smith: BYU Speeches,,,2021-12-03 15:15:00,Podcast,,1952000,,,BYU Speeches
2022-01-04 02:36:34,True,CD3233CF93B99813,The Legacy of Learning (Excerpted) | Cecil O. Samuelson | August 2005,,True,,,,True,https://traffic.omny.fm/d/clips/0c331867-ade6-4f54-a1a9-aa5d00345817/4a3d3a8e-92bb-4e77-a871-aa7100f69d0b/3401c4f4-3bbc-4def-8342-ab6701659e2a/audio.mp3?utm_source=Podcast&in_playlist=2631a465-5eed-48c6-abff-aa7100f69d0f&t=1584716053,,13058,,15671554,,,URL,Joseph Smith: BYU Speeches,Legacy of Learning (Excerpted) | Cecil O. Samuelson | August 2005,,2022-01-07 17:20:00,Podcast,,977000,,,BYU Speeches
2022-01-04 02:36:34,True,E00FCAE6F5D699D6,Joseph Smith Lecture 1: The First Vision and Its Aftermath | Truman G. Madsen | Aug 1978,,True,,,,True,https://traffic.omny.fm/d/clips/0c331867-ade6-4f54-a1a9-aa5d00345817/4a3d3a8e-92bb-4e77-a871-aa7100f69d0b/3e5c7574-92ab-465b-936b-aa7100f6d344/audio.mp3?utm_source=Podcast&in_playlist=2631a465-5eed-48c6-abff-aa7100f69d0f&t=1561062110,,13024,,47533020,,,URL,Joseph Smith: BYU Speeches,,,2022-01-28 18:30:00,Podcast,,2968000,,,BYU Speeches
2022-01-04 02:36:34,True,7FB433ECC83E0FCD,Joseph Smith Lecture 2: Joseph's Personality and Character | Truman Madsen | August 1978,,True,,,,True,https://traffic.omny.fm/d/clips/0c331867-ade6-4f54-a1a9-aa5d00345817/4a3d3a8e-92bb-4e77-a871-aa7100f69d0b/64afa32a-b7d9-4565-b6f7-aa7100f6cc67/audio.mp3?utm_source=Podcast&in_playlist=2631a465-5eed-48c6-abff-aa7100f69d0f&t=1561062050,,13026,,46782365,,,URL,Joseph Smith: BYU Speeches,,,2022-02-23 15:10:00,Podcast,,2921000,,,BYU Speeches
2022-01-04 02:36:34,True,CE79CDCEBD95395E,Joseph Smith Lecture 3: Joseph Smith and Spiritual Gifts | Truman Madsen | August 1978,,True,,,,True,https://traffic.omny.fm/d/clips/0c331867-ade6-4f54-a1a9-aa5d00345817/4a3d3a8e-92bb-4e77-a871-aa7100f69d0b/10344a3b-99f1-4352-93db-aa7100f6c324/audio.mp3?utm_source=Podcast&in_playlist=2631a465-5eed-48c6-abff-aa7100f69d0f&t=1561061960,,13028,,43262729,,,URL,Joseph Smith: BYU Speeches,,,2022-03-04 15:00:00,Podcast,,2701000,,,BYU Speeches
2022-01-04 02:36:34,True,415E9EE96B4B3787,Joseph Smith Lecture 4: Joseph Smith and Trials | Truman G. Madsen | August 1978,,True,,,,True,https://traffic.omny.fm/d/clips/0c331867-ade6-4f54-a1a9-aa5d00345817/4a3d3a8e-92bb-4e77-a871-aa7100f69d0b/c0559367-42e7-4e15-9483-aa7100f6bcc0/audio.mp3?utm_source=Podcast&in_playlist=2631a465-5eed-48c6-abff-aa7100f69d0f&t=1561061849,,13030,,44868104,,,URL,Joseph Smith: BYU Speeches,,,2022-03-25 14:15:00,Podcast,,2802000,,,BYU Speeches
2022-01-04 02:36:34,True,00BCF9190E41ECAE,Joseph Smith Lecture 5: Joseph Smith and the Kirtland Temple | Truman G. Madsen | Aug 1978,,True,,,,True,https://traffic.omny.fm/d/clips/0c331867-ade6-4f54-a1a9-aa5d00345817/4a3d3a8e-92bb-4e77-a871-aa7100f69d0b/52db9b61-1837-4565-9dee-aa7100f6b5fb/audio.mp3?utm_source=Podcast&in_playlist=2631a465-5eed-48c6-abff-aa7100f69d0f&t=1561061754,,13032,,46356049,,,URL,Joseph Smith: BYU Speeches,,,2022-04-29 13:00:00,Podcast,,2895000,,,BYU Speeches
2022-01-04 02:36:34,True,B488FACEE8942AE7,"Joseph Smith Lecture 6: Joseph Smith as Teacher, Speaker, and Counselor | Truman G. Madsen, Aug 1978",,True,,,,True,https://traffic.omny.fm/d/clips/0c331867-ade6-4f54-a1a9-aa5d00345817/4a3d3a8e-92bb-4e77-a871-aa7100f69d0b/e38d650e-79b3-4c8c-b3ba-aa7100f6abf5/audio.mp3?utm_source=Podcast&in_playlist=2631a465-5eed-48c6-abff-aa7100f69d0f&t=1561061631,,13034,,44924548,,,URL,Joseph Smith: BYU Speeches,,,2022-05-13 15:10:00,Podcast,,2805000,,,BYU Speeches
2022-01-04 02:36:34,True,3911D194DC4952DF,"Joseph Smith Lecture 7: Doctrinal Development and the Nauvoo Era | Truman G. Madsen, Aug 1978",,True,,,,True,https://traffic.omny.fm/d/clips/0c331867-ade6-4f54-a1a9-aa5d00345817/4a3d3a8e-92bb-4e77-a871-aa7100f69d0b/79c5000a-94db-460b-b81f-aa7100f6a7c9/audio.mp3?utm_source=Podcast&in_playlist=2631a465-5eed-48c6-abff-aa7100f69d0f&t=1561061562,,13036,,39335591,,,URL,Joseph Smith: BYU Speeches,,,2022-05-27 11:00:00,Podcast,,2456000,,,BYU Speeches
2022-01-04 02:36:34,True,A8D64AEA27E6FA6D,Joseph Smith Lecture 8: The Last Months and Martyrdom | Truman G. Madsen | August 1978,,True,,,,True,https://traffic.omny.fm/d/clips/0c331867-ade6-4f54-a1a9-aa5d00345817/4a3d3a8e-92bb-4e77-a871-aa7100f69d0b/722064f9-2d1d-4140-97e5-aa7100f6a17f/audio.mp3?utm_source=Podcast&in_playlist=2631a465-5eed-48c6-abff-aa7100f69d0f&t=1561061671,,13078,,46116972,,,URL,Joseph Smith: BYU Speeches,,,2022-06-17 15:15:00,Podcast,,2880000,,,BYU Speeches
2022-01-04 02:36:34,True,67670380A5883156,Joseph Smith's Christlike Attributes | Jack H. Goaslind | June 1995,,True,,,,True,https://traffic.omny.fm/d/clips/0c331867-ade6-4f54-a1a9-aa5d00345817/4a3d3a8e-92bb-4e77-a871-aa7100f69d0b/ddcdc156-e48c-435c-8354-aa7100f72a39/audio.mp3?utm_source=Podcast&in_playlist=2631a465-5eed-48c6-abff-aa7100f69d0f&t=1561062719,,13018,,33760826,,,URL,Joseph Smith: BYU Speeches,,,2022-07-01 15:30:00,Podcast,,2107000,,,BYU Speeches
