unplayed,date_added,release_date,location,persistent_id,name,total_time,genre,podcast,play_date,track_id,play_date_utc,play_count,track_type,size,album,sort_name
True,2021-12-30 22:58:20,2016-11-21 02:16:34,https://ldsperfectday.podomatic.com/enclosure/2016-11-20T18_16_34-08_00.mp3?_=1479694601.11806894,4472254AEA8C1B7A,"Lectures on Faith 4, Part 2: Why you may not be going to Zion",1640000,Podcast,True,,8538,,,URL,26247132,LDS Perfect Days Podcast,
True,2021-12-30 22:58:20,2016-12-12 01:51:08,https://ldsperfectday.podomatic.com/enclosure/2016-12-11T17_51_08-08_00.mp3?_=1481507476.11846712,E3610C998F920041,"Lectures on Faith 4, Part 3: The Proto-Zions Among Us...Where We Least Expect Them",1825000,Podcast,True,,8540,,,URL,19486944,LDS Perfect Days Podcast,
True,2021-12-30 22:58:20,2016-12-23 05:45:48,https://ldsperfectday.podomatic.com/enclosure/2016-12-22T21_45_48-08_00.mp3?_=1482471970.11867379,950A81E6E7771009,Four Gifts From Father to You...And One Gift From You to Father,1095000,Podcast,True,,8542,,,URL,13140769,LDS Perfect Days Podcast,
True,2021-12-30 22:58:20,2017-01-12 05:40:42,https://ldsperfectday.podomatic.com/enclosure/2017-01-11T21_40_42-08_00.mp3?_=1484199646.11899152,B613E2425ECECBBE,"Lectures on Faith 4, Part 4: The Hidden Spiritual Development Strategy Embedded in Lecture on Faith 4",695000,Podcast,True,,8544,,,URL,8346882,LDS Perfect Days Podcast,
True,2021-12-30 22:58:20,2017-01-30 03:15:11,https://ldsperfectday.podomatic.com/enclosure/2017-01-29T19_15_11-08_00.mp3?_=1485746117.11933112,6241E53CCBCE7A7E,False Prophecy 101,1518000,Podcast,True,,8546,,,URL,18216779,LDS Perfect Days Podcast,
True,2021-12-30 22:58:20,2017-02-06 06:57:01,https://ldsperfectday.podomatic.com/enclosure/2017-02-05T22_57_01-08_00.mp3?_=1486364226.11947338,3F47F2E03DD3B76E,"The Background Behind ""Why the Word 'Kintsukuroi' Means So Much To You""",391000,Podcast,True,,8548,,,URL,4694533,LDS Perfect Days Podcast,"Background Behind ""Why the Word 'Kintsukuroi' Means So Much To You"""
True,2021-12-30 22:58:20,2017-03-15 06:06:37,https://ldsperfectday.podomatic.com/enclosure/2017-03-14T23_06_37-07_00.mp3?_=1489558069.12024470,E28AAB4D667EDBB0,Do You Have Spiritual AIDS? Part 1 of 2: Daily Spiritual Experiences,1481000,Podcast,True,,8550,,,URL,17779356,LDS Perfect Days Podcast,
True,2021-12-30 22:58:20,2017-03-30 00:09:57,https://ldsperfectday.podomatic.com/enclosure/2017-03-29T17_09_57-07_00.mp3?_=1490832603.12055650,6D5933525FA700DA,Do You Have Spiritual AIDS? Part 2 of 2: Rise Above the Selfishness of Seeking the Second Comforter,1033000,Podcast,True,,8552,,,URL,12401608,LDS Perfect Days Podcast,
True,2021-12-30 22:58:20,2017-04-06 00:35:35,https://ldsperfectday.podomatic.com/enclosure/2017-04-05T17_35_35-07_00.mp3?_=1491438938.12069727,D1D095D06926AEA3,"The Background Behind ""The Parable of the Advanced Placement Student""",471000,Podcast,True,,8554,,,URL,5654725,LDS Perfect Days Podcast,"Background Behind ""The Parable of the Advanced Placement Student"""
True,2021-12-30 22:58:20,2017-05-01 03:48:17,https://ldsperfectday.podomatic.com/enclosure/2017-04-30T20_48_17-07_00.mp3?_=1493610503.12117260,ED0D6E63340C5125,The Best Books,1579000,Podcast,True,,8556,,,URL,18950164,LDS Perfect Days Podcast,Best Books
