date_added,clean,persistent_id,name,kind,podcast,bitrate,play_date_utc,unplayed,comments,track_number,location,file_folder_count,track_id,play_count,size,artwork_count,library_folder_count,track_type,album,sort_name,date_modified,release_date,genre,sample_rate,total_time,play_date,year,artist
2021-12-30 22:58:16,True,F90E5F4B965CD340,The Road to Emmaus,,True,,,True,,,https://media.blubrry.com/lightandtruth/www.denversnuffer.net/podcast/episodes/2007.04.14_Road_to_Emmaus.mp3,,5236,,185423431,,,URL,Light and Truth,Road to Emmaus,,2019-07-30 12:00:03,Podcast,,9223000,,,Restoration Archives
2021-12-30 22:58:16,True,4B1E76A44C31A566,Lecture at the “Zion Symposium”,,True,,,True,,,https://media.blubrry.com/lightandtruth/www.denversnuffer.net/podcast/episodes/2008.02.23_Zion_Symposium.mp3,,5238,,86640867,,,URL,Light and Truth,,,2019-07-31 14:15:35,Podcast,,4284000,,,Restoration Archives
2021-12-30 22:58:16,True,E2F079755B68895E,Chiasmus,,True,,,True,,,https://media.blubrry.com/lightandtruth/www.denversnuffer.net/podcast/episodes/2010.09.18_Chiasmus.mp3,,5240,,63475997,,,URL,Light and Truth,,,2019-08-01 12:02:37,Podcast,,3126000,,,Restoration Archives
2021-12-30 22:58:16,True,2FB833C2425271A2,"The Mission of Elijah, Reconsidered",,True,,,True,,,https://media.blubrry.com/lightandtruth/www.denversnuffer.net/podcast/episodes/2011.10.14_Mission_of_Elijah.mp3,,5242,,151033768,,,URL,Light and Truth,"Mission of Elijah, Reconsidered",,2019-08-02 12:30:47,Podcast,,7504000,,,Restoration Archives
2021-12-30 22:58:16,True,000A563AD555A5FA,Brigham Young’s Telestial Kingdom,,True,,,True,,,https://media.blubrry.com/lightandtruth/www.denversnuffer.net/podcast/episodes/2012.04.18_Brigham_Youngs_Telestial_Kingdom.mp3,,5244,,115265345,,,URL,Light and Truth,,,2019-08-03 12:30:19,Podcast,,5716000,,,Restoration Archives
2021-12-30 22:58:16,True,CD89C02047DC0EAA,The Temple,,True,,,True,,,https://media.blubrry.com/lightandtruth/www.denversnuffer.net/podcast/episodes/2012.10.28_The_Temple.mp3,,5246,,105020593,,,URL,Light and Truth,Temple,,2019-08-04 20:26:17,Podcast,,5203000,,,Restoration Archives
2021-12-30 22:58:16,True,48B53FEF61C07758,Constitutional Apostasy,,True,,,True,,,https://media.blubrry.com/lightandtruth/www.denversnuffer.net/podcast/episodes/2013.06.07_Constitutional_Apostasy.mp3,,5248,,129835912,,,URL,Light and Truth,,,2019-08-05 13:13:41,Podcast,,6444000,,,Restoration Archives
2021-12-30 22:58:16,True,414A5CD2575995E7,Be of Good Cheer,,True,,,True,,,https://media.blubrry.com/lightandtruth/www.denversnuffer.net/podcast/episodes/2013.09.10_Talk-1.mp3,,5250,,176925795,,,URL,Light and Truth,,,2019-11-26 17:30:35,Podcast,,8799000,,,Restoration Archives
2021-12-30 22:58:16,True,AC09E4F77D1DDA46,Faith,,True,,,True,,,https://media.blubrry.com/lightandtruth/www.denversnuffer.net/podcast/episodes/2013.09.28_Talk-2.mp3,,5252,,191775884,,,URL,Light and Truth,,,2019-11-27 21:12:15,Podcast,,9541000,,,Restoration Archives
2021-12-30 22:58:16,True,EA2E199DA3814C89,Repentance,,True,,,True,,,https://media.blubrry.com/lightandtruth/www.denversnuffer.net/podcast/episodes/2013.09.29_Talk-3.mp3,,5254,,149680604,,,URL,Light and Truth,,,2019-12-23 22:33:42,Podcast,,7436000,,,Restoration Archives
2021-12-30 22:58:16,True,F611CE50EC478105,Covenants,,True,,,True,,,https://media.blubrry.com/lightandtruth/www.denversnuffer.net/podcast/episodes/2013.10.06_Talk-4.mp3,,5256,,141290593,,,URL,Light and Truth,,,2020-01-23 18:58:00,Podcast,,7017000,,,Restoration Archives
2021-12-30 22:58:16,True,ACDAC893307D8260,Priesthood,,True,,,True,,,https://media.blubrry.com/lightandtruth/www.denversnuffer.net/podcast/episodes/2013.11.02_Talk-5.mp3,,5258,,230135654,,,URL,Light and Truth,,,2020-02-05 12:05:00,Podcast,,11459000,,,Restoration Archives
2021-12-30 22:58:16,True,8F13F7B5CCCD227D,Zion,,True,,,True,,,https://media.blubrry.com/lightandtruth/www.denversnuffer.net/podcast/episodes/2014.04.12_Talk-6.mp3,,5260,,222020975,,,URL,Light and Truth,,,2020-02-06 13:06:00,Podcast,,11053000,,,Restoration Archives
2021-12-30 22:58:16,True,3D9E6A82EAF6BF42,Christ: Prototype of the Saved Man,,True,,,True,,,https://media.blubrry.com/lightandtruth/www.denversnuffer.net/podcast/episodes/2014.06.28_Talk-7.mp3,,5262,,209980614,,,URL,Light and Truth,,,2020-02-07 14:07:00,Podcast,,10451000,,,Restoration Archives
2021-12-30 22:58:16,True,1E23ADB55E317EC4,A Broken Heart and Contrite Spirit,,True,,,True,,,https://media.blubrry.com/lightandtruth/www.denversnuffer.net/podcast/episodes/2014.07.25_Talk-8.mp3,,5264,,198640860,,,URL,Light and Truth,Broken Heart and Contrite Spirit,,2020-02-08 15:08:00,Podcast,,9884000,,,Restoration Archives
2021-12-30 22:58:16,True,D3458D3681BF01C1,Marriage and Family,,True,,,True,,,https://media.blubrry.com/lightandtruth/www.denversnuffer.net/podcast/episodes/2014.07.26_Talk-9.mp3,,5266,,162145709,,,URL,Light and Truth,,,2020-02-09 16:09:00,Podcast,,8060000,,,Restoration Archives
2021-12-30 22:58:16,True,186C9AE75E838C8E,Preserving the Restoration,,True,,,True,,,https://media.blubrry.com/lightandtruth/www.denversnuffer.net/podcast/episodes/2014.09.09_Talk-10.mp3,,5268,,203009061,,,URL,Light and Truth,,,2020-02-10 17:10:00,Podcast,,10103000,,,Restoration Archives
2021-12-30 22:58:16,True,658AF8DEBBA204DC,Cutting Down the Tree of Life to Build a Wooden Bridge,,True,,,True,,,https://media.blubrry.com/lightandtruth/www.denversnuffer.net/podcast/episodes/2014.08.02_LT018_Cutting-Down-the-Tree-of-Life.mp3,,5270,,111483856,,,URL,Light and Truth,,,2020-02-19 01:30:00,Podcast,,5526000,,,Restoration Archives
2021-12-30 22:58:16,True,9516973056CC6A91,Plural Marriage,,True,,,True,,,https://media.blubrry.com/lightandtruth/www.denversnuffer.net/podcast/episodes/2015.03.22_LT019_Plural-Marriage.mp3,,5272,,146343727,,,URL,Light and Truth,,,2020-02-20 16:00:00,Podcast,,7269000,,,Restoration Archives
2021-12-30 22:58:16,True,FAFBDF1C4B059AD6,A Visit With Denver Snuffer,,True,,,True,,,https://media.blubrry.com/lightandtruth/www.denversnuffer.net/podcast/episodes/2015.05.13_LT020_A-Visit-with-Denver.mp3,,5274,,119906251,,,URL,Light and Truth,Visit With Denver Snuffer,,2020-02-25 23:00:00,Podcast,,5948000,,,Restoration Archives
2021-12-30 22:58:16,True,82082C68A946BCEB,Big Cottonwood Canyon Conference,,True,,,True,,,https://media.blubrry.com/lightandtruth/www.denversnuffer.net/podcast/episodes/2015.09.20_LT021_Big-Cottonwood-Conference.mp3,,5276,,52249114,,,URL,Light and Truth,,,2020-03-01 06:52:04,Podcast,,2565000,,,Restoration Archives
