date_added,persistent_id,name,kind,podcast,bitrate,play_date_utc,unplayed,location,sort_album,file_folder_count,track_id,play_count,size,artwork_count,library_folder_count,track_type,album,sort_name,date_modified,release_date,genre,sample_rate,total_time,play_date,year,artist
2021-12-30 22:58:20,3A671924C869D6B4,"Haml, Sass, Compass",,True,,,True,https://op3.dev/e/https://cdn.changelog.com/uploads/podcast/1/the-changelog-1.mp3,"Changelog: Software Development, Open Source",,7570,,29010506,,,URL,"The Changelog: Software Development, Open Source",,,2009-11-19 14:00:00,Podcast,,3582000,,,Changelog Media
2021-12-30 22:58:20,543378F5FD8830DD,The original Changelog Weekly,,True,,,True,https://op3.dev/e/https://cdn.changelog.com/uploads/podcast/2/the-changelog-2.mp3,"Changelog: Software Development, Open Source",,7572,,10666145,,,URL,"The Changelog: Software Development, Open Source",original Changelog Weekly,,2009-11-25 14:00:00,Podcast,,1289000,,,Changelog Media
2021-12-30 22:58:20,4BA4840657343182,The Go Programming Language from Google,,True,,,True,https://op3.dev/e/https://cdn.changelog.com/uploads/podcast/3/the-changelog-3.mp3,"Changelog: Software Development, Open Source",,7574,,10758319,,,URL,"The Changelog: Software Development, Open Source",Go Programming Language from Google,,2009-11-27 14:00:00,Podcast,,1301000,,,Changelog Media
2021-12-30 22:58:20,578F041E81EAF4A9,"Chrome OS, Thor and ROaR",,True,,,True,https://op3.dev/e/https://cdn.changelog.com/uploads/podcast/4/the-changelog-4.mp3,"Changelog: Software Development, Open Source",,7576,,15022331,,,URL,"The Changelog: Software Development, Open Source",,,2009-12-01 14:00:00,Podcast,,1834000,,,Changelog Media
2021-12-30 22:58:20,08517156F8F86CA9,Document Cloud and Underscore.js,,True,,,True,https://op3.dev/e/https://cdn.changelog.com/uploads/podcast/5/the-changelog-5.mp3,"Changelog: Software Development, Open Source",,7578,,17562178,,,URL,"The Changelog: Software Development, Open Source",,,2009-12-06 14:00:00,Podcast,,2151000,,,Changelog Media
2021-12-30 22:58:20,C60420285290E1A7,The Weekly News,,True,,,True,https://op3.dev/e/https://cdn.changelog.com/uploads/podcast/6/the-changelog-6.mp3,"Changelog: Software Development, Open Source",,7580,,22730778,,,URL,"The Changelog: Software Development, Open Source",Weekly News,,2009-12-15 14:00:00,Podcast,,2797000,,,Changelog Media
2021-12-30 22:58:20,3E202CE43AD45B3F,10gen and MongoDB,,True,,,True,https://op3.dev/e/https://cdn.changelog.com/uploads/podcast/7/the-changelog-7.mp3,"Changelog: Software Development, Open Source",,7582,,20234292,,,URL,"The Changelog: Software Development, Open Source",,,2009-12-17 14:00:00,Podcast,,2485000,,,Changelog Media
2021-12-30 22:58:20,068CA64173169E23,Appcelerator's Titanium and Titanium Mobile,,True,,,True,https://op3.dev/e/https://cdn.changelog.com/uploads/podcast/8/the-changelog-8.mp3,"Changelog: Software Development, Open Source",,7584,,25502470,,,URL,"The Changelog: Software Development, Open Source",,,2010-01-14 14:00:00,Podcast,,3144000,,,Changelog Media
2021-12-30 22:58:20,915E3081478C72FF,"Fix-me, Configliere, more Node.js",,True,,,True,https://op3.dev/e/https://cdn.changelog.com/uploads/podcast/9/the-changelog-9.mp3,"Changelog: Software Development, Open Source",,7586,,10746540,,,URL,"The Changelog: Software Development, Open Source",,,2010-01-19 14:00:00,Podcast,,1299000,,,Changelog Media
2021-12-30 22:58:20,9258978282E788A6,All things GitHub,,True,,,True,https://op3.dev/e/https://cdn.changelog.com/uploads/podcast/10/the-changelog-10.mp3,"Changelog: Software Development, Open Source",,7588,,37754427,,,URL,"The Changelog: Software Development, Open Source",,,2010-01-25 14:00:00,Podcast,,4675000,,,Changelog Media
2021-12-30 22:58:20,591D7CF93648A16D,"Ordered List, RailsTips.org, and MongoMapper",,True,,,True,https://op3.dev/e/https://cdn.changelog.com/uploads/podcast/11/the-changelog-11.mp3,"Changelog: Software Development, Open Source",,7590,,17282486,,,URL,"The Changelog: Software Development, Open Source",,,2010-01-29 14:00:00,Podcast,,2116000,,,Changelog Media
2021-12-30 22:58:20,50FECB1190B6E0A3,Gordon is such a Showoff,,True,,,True,https://op3.dev/e/https://cdn.changelog.com/uploads/podcast/12/the-changelog-12.mp3,"Changelog: Software Development, Open Source",,7592,,18850420,,,URL,"The Changelog: Software Development, Open Source",,,2010-02-03 14:00:00,Podcast,,2312000,,,Changelog Media
2021-12-30 22:58:20,410BD920434518BD,Civic hacking,,True,,,True,https://op3.dev/e/https://cdn.changelog.com/uploads/podcast/13/the-changelog-13.mp3,"Changelog: Software Development, Open Source",,7594,,30110498,,,URL,"The Changelog: Software Development, Open Source",,,2010-02-10 14:00:00,Podcast,,3720000,,,Changelog Media
