date_added,clean,persistent_id,name,podcast,play_date_utc,unplayed,location,sort_album,track_id,play_count,size,track_type,sort_artist,album,sort_name,release_date,genre,total_time,play_date,artist
2022-11-27 02:10:38,,84E2FC183FFFE5B9,Dialogue Lectures #1 w/Dr. David E. Campbell,True,,True,https://media.blubrry.com/dialogue_journal/www.dialoguejournal.com/wp-content/uploads/podcasts/dialoguepodcast_1.mp3,Dialogue Journal,37888,,105622882,URL,Dialogue Journal,The Dialogue Journal,,2012-10-18 18:21:32,Podcast,6601000,,The Dialogue Journal
2022-11-27 02:10:38,,50463F222A420679,Dialogue Lectures #2 w/Dr. John G. Turner,True,,True,https://media.blubrry.com/dialogue_journal/www.dialoguejournal.com/wp-content/uploads/podcasts/dialoguepodcast_2.mp3,Dialogue Journal,37890,,90351907,URL,Dialogue Journal,The Dialogue Journal,,2012-10-24 20:36:48,Podcast,5647000,,The Dialogue Journal
2022-11-27 02:10:38,,CF432E4EC0F694C3,Dialogue Lectures #3 w/Dr. Robert Rees and Dr. Caitlin Ryan,True,,True,https://media.blubrry.com/dialogue_journal/www.dialoguejournal.com/wp-content/uploads/podcasts/dialoguepodcast_3.mp3,Dialogue Journal,37892,,81997321,URL,Dialogue Journal,The Dialogue Journal,,2012-11-15 21:09:49,Podcast,5125000,,The Dialogue Journal
2022-11-27 02:10:38,,3815F03AD4F9CFF1,Dialogue Lectures #4 Mormonsandgays.org roundtable,True,,True,https://media.blubrry.com/dialogue_journal/www.dialoguejournal.com/wp-content/uploads/podcasts/dialoguepodcast_4.mp3,Dialogue Journal,37894,,79799054,URL,Dialogue Journal,The Dialogue Journal,,2012-12-12 19:22:54,Podcast,4987000,,The Dialogue Journal
2022-11-27 02:10:38,,63132B2287B39B97,Dialogue Lectures #5 w/Sarah Barringer Gordon,True,,True,https://media.blubrry.com/dialogue_journal/www.dialoguejournal.com/wp-content/uploads/podcasts/dialoguepodcast_5.mp3,Dialogue Journal,37896,,65662295,URL,Dialogue Journal,The Dialogue Journal,,2013-03-19 19:43:03,Podcast,4104000,,The Dialogue Journal
2022-11-27 02:10:38,,EFDE1E1EE12BFEAD,Dialogue Lectures #6 w/Fiona and Terryl Givens,True,,True,https://media.blubrry.com/dialogue_journal/www.dialoguejournal.com/wp-content/uploads/podcasts/dialoguepodcast_6.mp3,Dialogue Journal,37898,,77502290,URL,Dialogue Journal,The Dialogue Journal,,2013-04-18 09:06:58,Podcast,4844000,,The Dialogue Journal
2022-11-27 02:10:38,,7B2751C28FF73255,Dialogue Lectures #7 w/Eric Eliason,True,,True,https://media.blubrry.com/dialogue_journal/www.dialoguejournal.com/wp-content/uploads/podcasts/dialoguepodcast_7.mp3,Dialogue Journal,37900,,78771250,URL,Dialogue Journal,The Dialogue Journal,,2013-05-21 09:24:24,Podcast,4923000,,The Dialogue Journal
2022-11-27 02:10:38,,6FA5A2D2AC02ACF5,Dialogue Lectures #8 w/Armand Mauss,True,,True,https://media.blubrry.com/dialogue_journal/www.dialoguejournal.com/wp-content/uploads/podcasts/dialoguepodcast8.mp3,Dialogue Journal,37902,,77985101,URL,Dialogue Journal,The Dialogue Journal,,2013-06-25 19:47:48,Podcast,4874000,,The Dialogue Journal
2022-11-27 02:10:38,,0CA6CAE887B11A6C,Dialogue Lectures #9 w/Joseph and Marilyn Bentley,True,,True,https://media.blubrry.com/dialogue_journal/www.dialoguejournal.com/wp-content/uploads/podcasts/dialoguepodcast_9.mp3,Dialogue Journal,37904,,68052720,URL,Dialogue Journal,The Dialogue Journal,,2013-08-13 20:27:44,Podcast,4253000,,The Dialogue Journal
2022-11-27 02:10:38,,2ED3DEDF647B1922,Dialogue Lectures #10 w/Laurie Maffly-Kipp,True,,True,https://media.blubrry.com/dialogue_journal/www.dialoguejournal.com/wp-content/uploads/podcasts/dialoguepodcast_10.mp3,Dialogue Journal,37906,,57244290,URL,Dialogue Journal,The Dialogue Journal,,2013-10-22 16:21:36,Podcast,3578000,,The Dialogue Journal
2022-11-27 02:10:38,,816E7F177A7B6B93,Dialogue Lectures #11 w/Robert Kirby,True,,True,https://media.blubrry.com/dialogue_journal/www.dialoguejournal.com/wp-content/uploads/podcasts/dialoguepodcast_11.mp3,Dialogue Journal,37908,,65256887,URL,Dialogue Journal,The Dialogue Journal,,2013-12-04 22:10:30,Podcast,4079000,,The Dialogue Journal
2022-11-27 02:10:38,,922BB0956406F6BF,Dialogue Lectures #12 w/David Bokovoy,True,,True,https://media.blubrry.com/dialogue_journal/www.dialoguejournal.com/wp-content/uploads/podcasts/dialoguepodcast_12.mp3,Dialogue Journal,37910,,71232892,URL,Dialogue Journal,The Dialogue Journal,,2014-02-05 14:13:58,Podcast,4452000,,The Dialogue Journal
2022-11-27 02:10:38,,68094AF257679569,Dialogue Lectures #13 w/Philip Barlow,True,,True,https://media.blubrry.com/dialogue_journal/www.dialoguejournal.com/wp-content/uploads/podcasts/dialoguepodcast_13.mp3,Dialogue Journal,37912,,85676724,URL,Dialogue Journal,The Dialogue Journal,,2014-03-18 13:11:35,Podcast,5355000,,The Dialogue Journal
2022-11-27 02:10:38,,B0129B3D145CE0DB,Dialogue Lectures #14 w/Brandon Plewe,True,,True,https://media.blubrry.com/dialogue_journal/www.dialoguejournal.com/wp-content/uploads/podcasts/dialoguepodcast_14.mp3,Dialogue Journal,37914,,74038616,URL,Dialogue Journal,The Dialogue Journal,,2014-04-22 09:44:49,Podcast,4627000,,The Dialogue Journal
2022-11-27 02:10:38,,3793B449B334FA52,Dialogue Lectures #15 w/David Stewart & Matt Martinich,True,,True,https://media.blubrry.com/dialogue_journal/www.dialoguejournal.com/wp-content/uploads/podcasts/dialoguepodcast_15.mp3,Dialogue Journal,37916,,79782699,URL,Dialogue Journal,The Dialogue Journal,,2014-05-20 13:44:10,Podcast,4986000,,The Dialogue Journal
2022-11-27 02:10:38,,FBCC7FBFDF6DF17A,Dialogue Lectures #16 w/Valerie Hudson,True,,True,https://media.blubrry.com/dialogue_journal/www.dialoguejournal.com/wp-content/uploads/podcasts/dialoguepodcast_16.mp3,Dialogue Journal,37918,,78299321,URL,Dialogue Journal,The Dialogue Journal,,2014-09-03 14:52:48,Podcast,4894000,,The Dialogue Journal
